"","collectiondate","country","countrycode","region","ntlmeanintensity","ntlcoverageperc","lcumixedforestperc","lcuclosedshrublandsperc","lcuopenshrublandsperc","lcuwoodysavannasperc","lcusavannasperc","lcugrasslandsperc","lcucroplandsperc","lcuurbanbuiltupperc","lcucroplandnatvegperc","lcubarrenperc","builtschools","builtmedicalfacilities","builtroads","builtresidence","mpi"
"1",2012-01-01,"Benin","BEN","alibori",0.057,37.098,0,0,0,0,0,12.193,24.905,0,0,0,0,0,25,0,0.528
"2",2012-01-01,"Benin","BEN","atacora",0.079,24.392,0,0,0,0,0,0,24.392,0,0,0,0,0,44,0,0.454
"3",2012-01-01,"Benin","BEN","atlantic",0.844,12.874,0,0,0,0,0,0.539,0,0,12.335,0,0,0,14,0,0.278
"4",2012-01-01,"Benin","BEN","borgou",0.055,35.561,0,0,0,0,17.147,0,18.415,0,0,0,0,2,83,0,0.351
"5",2012-01-01,"Benin","BEN","collines",0.073,28.82,0,0,0,0,28.82,0,0,0,0,0,0,0,10,0,0.292
"6",2012-01-01,"Benin","BEN","couffo",0.13,6.481,0,0,0,0,2.659,3.436,0,0,0.386,0,0,1,11,0,0.345
"7",2012-01-01,"Benin","BEN","donga",0.05,15.228,0,0,0,0,5.79,0,9.438,0,0,0,0,1,36,0,0.335
"8",2012-01-01,"Benin","BEN","littoral",0.876,0.575,0,0,0,0,0,0,0,0,0.575,0,0,0,115,0,0.083
"9",2012-01-01,"Benin","BEN","mono",0.12,6.631,0,0,0,0,0,6.552,0,0,0.08,0,0,1,36,0,0.259
"10",2012-01-01,"Benin","BEN","oueme",0.876,11.224,0,0,0,0,0,0,0,0,11.224,0,0,0,20,0,0.238
"11",2012-01-01,"Benin","BEN","plateau",0.363,14.015,0,0,0,0,9.846,0,0,0,4.169,0,0,0,4,0,0.347
"12",2012-01-01,"Benin","BEN","zou",0.163,10.82,0,0,0,0,10.032,0.036,0,0,0.751,0,0,0,23,0,0.334
"13",2014-01-01,"Benin","BEN","alibori",0.052,37.098,0,0,0,0,0,12.193,24.905,0,0,0,2,1,94,0,0.558
"14",2014-01-01,"Benin","BEN","atacora",0.064,24.392,0,0,0,0,0,6.78,17.612,0,0,0,55,10,86,0,0.46
"15",2014-01-01,"Benin","BEN","atlantic",0.898,12.874,0,0,0,0,0,0.539,0,0,12.335,0,0,4,37,0,0.269
"16",2014-01-01,"Benin","BEN","borgou",0.05,35.561,0,0,0,0,2.166,14.981,18.415,0,0,0,7,8,196,0,0.452
"17",2014-01-01,"Benin","BEN","collines",0.071,28.82,0,0,0,0,21.311,7.509,0,0,0,0,1,1,33,0,0.334
"18",2014-01-01,"Benin","BEN","couffo",0.161,6.481,0,0,0,0,2.659,3.436,0,0,0.386,0,0,2,21,0,0.39
"19",2014-01-01,"Benin","BEN","donga",0.048,15.228,0,0,0,0,4.342,1.447,9.438,0,0,0,2,4,59,0,0.369
"20",2014-01-01,"Benin","BEN","littoral",0.93,0.575,0,0,0,0,0,0,0,0,0.575,0,0,11,178,0,0.07
"21",2014-01-01,"Benin","BEN","mono",0.162,6.631,0,0,0,0,0,6.552,0,0,0.08,0,0,1,42,0,0.289
"22",2014-01-01,"Benin","BEN","oueme",0.93,11.224,0,0,0,0,0,0,0,0,11.224,0,1,4,103,2,0.268
"23",2014-01-01,"Benin","BEN","plateau",0.383,14.015,0,0,0,0,0,9.846,0,0,4.169,0,0,1,34,0,0.362
"24",2014-01-01,"Benin","BEN","zou",0.174,10.82,0,0,0,0,3.693,6.376,0,0,0.751,0,0,1,61,0,0.351
"25",2018-01-01,"Benin","BEN","alibori",0.243,37.098,0,0,0,0,0,12.193,24.905,0,0,0,2,4,153,0,0.552
"26",2018-01-01,"Benin","BEN","atacora",0.258,24.392,0,0,0,0,0,1.723,22.669,0,0,0,70,16,214,4,0.479
"27",2018-01-01,"Benin","BEN","atlantic",1.231,12.874,0,0,0,0,0,0.539,0,0,12.335,0,31,108,114,0,0.284
"28",2018-01-01,"Benin","BEN","borgou",0.255,35.561,0,0,0,0,2.166,14.981,18.415,0,0,0,36,25,446,48,0.466
"29",2018-01-01,"Benin","BEN","collines",0.28,28.82,0,0,0,0,21.311,7.509,0,0,0,0,6,23,140,0,0.305
"30",2018-01-01,"Benin","BEN","couffo",0.393,6.481,0,0,0,0,2.659,3.436,0,0,0.386,0,0,4,67,0,0.396
"31",2018-01-01,"Benin","BEN","donga",0.26,15.228,0,0,0,0,4.342,1.447,9.438,0,0,0,14,9,205,0,0.375
"32",2018-01-01,"Benin","BEN","littoral",1.268,0.575,0,0,0,0,0,0,0,0,0.575,0,7,89,319,6,0.076
"33",2018-01-01,"Benin","BEN","mono",0.407,6.631,0,0,0,0,0,6.552,0,0,0.08,0,35,15,119,0,0.287
"34",2018-01-01,"Benin","BEN","oueme",1.268,11.224,0,0,0,0,0,0,0,0,11.224,0,11,50,192,42,0.231
"35",2018-01-01,"Benin","BEN","plateau",0.647,14.015,0,0,0,0,0,9.846,0,0,4.169,0,8,60,78,0,0.396
"36",2018-01-01,"Benin","BEN","zou",0.404,10.82,0,0,0,0,3.693,6.376,0,0,0.751,0,4,23,4,0,0.311
"37",2022-01-01,"Benin","BEN","alibori",0.315,37.098,0,0,0,0,0,3.145,33.953,0,0,0,64,26,4,0,0.46
"38",2022-01-01,"Benin","BEN","atacora",0.363,24.392,0,0,0,0,0,1.723,22.669,0,0,0,87,19,223,212,0.414
"39",2022-01-01,"Benin","BEN","atlantic",1.329,12.874,0,0,0,0,0,0.539,0,0,12.335,0,218,144,137,6,0.22
"40",2022-01-01,"Benin","BEN","borgou",0.319,35.561,0,0,0,0,2.166,14.981,18.415,0,0,0,594,63,308,38,0.381
"41",2022-01-01,"Benin","BEN","collines",0.351,28.82,0,0,0,0,18.083,10.737,0,0,0,0,204,36,179,2,0.233
